,FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,longitude,latitude
149,01/13/2015 12:00:00 AM,"2,015",1,Mar,07:30:00:AM,Solo daños,Choque,AV CIRCUNVALAR ENTRADA 20 DE JULIO,,,1,-74.80085059999998,10.988173399999999
150,01/13/2015 12:00:00 AM,"2,015",1,Mar,07:35:00:PM,Solo daños,Choque,CLLE 30 CRA 11,,,1,-74.78509120000002,10.9482075
151,01/13/2015 12:00:00 AM,"2,015",1,Mar,07:40:00:AM,Con heridos,Caida Ocupante,CR 27 CL 105,1.0,,1,-74.83410479999998,10.975295599999999
152,01/13/2015 12:00:00 AM,"2,015",1,Mar,08:30:00:AM,Solo daños,Choque,VIA 40 CALLE 106,,,1,-74.79971450000001,11.0215868
153,01/13/2015 12:00:00 AM,"2,015",1,Mar,09:00:00:AM,Solo daños,Choque,CRA 9J DAIG 68,,,1,-74.82564350000001,10.9601642
154,01/13/2015 12:00:00 AM,"2,015",1,Mar,10:40:00:AM,Con heridos,Caida Ocupante,CALLE 74 47 68,1.0,,1,-74.80660689999998,10.996608
155,01/13/2015 12:00:00 AM,"2,015",1,Mar,11:20:00:AM,Con heridos,Atropello,CLLE 82 CRA 46,1.0,,1,-74.8167568,11.0006369
156,01/14/2015 12:00:00 AM,"2,015",1,Mié,04:45:00:PM,Solo daños,Choque,CLLE 72 CRA 38,,,1,-74.81112689999998,10.985311099999999
157,01/14/2015 12:00:00 AM,"2,015",1,Mié,05:44:00:PM,Solo daños,Choque,CR 45 CL 32,,,1,-74.7765691,10.983524099999999
158,01/14/2015 12:00:00 AM,"2,015",1,Mié,06:30:00:AM,Solo daños,Choque,CL 75 CR 53,,,1,-74.80468479999998,11.0012798
159,01/14/2015 12:00:00 AM,"2,015",1,Mié,07:00:00:PM,Solo daños,Choque,CRA 67 CLLE 84,,,1,-74.80960449999998,11.013961300000002
160,01/14/2015 12:00:00 AM,"2,015",1,Mié,07:02:00:AM,Solo daños,Choque,CALLE 85 CR 57,,,1,-74.8151565,11.0102024
161,01/14/2015 12:00:00 AM,"2,015",1,Mié,07:30:00:PM,Con heridos,Choque,CLLE 6 CRA 46,2.0,,1,-74.7735096,10.9850708
162,01/14/2015 12:00:00 AM,"2,015",1,Mié,10:00:00:AM,Solo daños,Choque,CR 32 CL 36,,,1,-74.7825809,10.9715729
163,01/15/2015 12:00:00 AM,"2,015",1,Jue,01:00:00:PM,Solo daños,Choque,CRA 45 CL 45,,,1,-74.78509190000001,10.98643
