,the_geom,name,description,No.,CODIGO,LATITUD,LONGITUD,ICONO
38,POINT (-74.7833655 10.973159),CALLE 38 CON CARRERA 33 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 45<br>
<b>CODIGO:</b> 2601<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA 33 BARRANQUILLA<br>
<b>LATITUD:</b> 10.973159<br>
<b>LONGITUD:</b> -74.7833655<br>
<b>ICONO:</b> small_green
</div>",45,2601,10.973158999999999,-74.7833655,small_green
39,POINT (-74.781797 10.9780656),CALLE 38 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 46<br>
<b>CODIGO:</b> 1130<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9780656<br>
<b>LONGITUD:</b> -74.781797<br>
<b>ICONO:</b> small_green
</div>",46,1130,10.9780656,-74.781797,small_green
40,POINT (-74.7812785 10.9799677),CALLE 38 CON CARRERA 40 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 47<br>
<b>CODIGO:</b> 1131<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA 40 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9799677<br>
<b>LONGITUD:</b> -74.7812785<br>
<b>ICONO:</b> small_green
</div>",47,1131,10.9799677,-74.7812785,small_green
41,POINT (-74.780499 10.9834463),CALLE 38 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 48<br>
<b>CODIGO:</b> 2120<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9834463<br>
<b>LONGITUD:</b> -74.780499<br>
<b>ICONO:</b> small_green
</div>",48,2120,10.9834463,-74.780499,small_green
42,POINT (-74.7801725 10.9848984),CALLE 38 CON CARRERA 45 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 49<br>
<b>CODIGO:</b> 1114<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA 45 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9848984<br>
<b>LONGITUD:</b> -74.7801725<br>
<b>ICONO:</b> small_green
</div>",49,1114,10.9848984,-74.78017249999999,small_green
43,POINT (-74.7808262 10.9817507),CALLE 38 CON CARRERA43 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 50<br>
<b>CODIGO:</b> 3843<br>
<b>LOCALIZACION:</b> CALLE 38 CON CARRERA43 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9817507<br>
<b>LONGITUD:</b> -74.7808262<br>
<b>ICONO:</b> small_green
</div>",50,3843,10.9817507,-74.78082619999999,small_green
44,POINT (-74.7850403 10.9703325),CALLE 39 CON CARRERA 30 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 51<br>
<b>CODIGO:</b> 3830<br>
<b>LOCALIZACION:</b> CALLE 39 CON CARRERA 30 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9703325<br>
<b>LONGITUD:</b> -74.7850403<br>
<b>ICONO:</b> small_green
</div>",51,3830,10.9703325,-74.78504029999999,small_green
45,POINT (-74.7810334 10.9863515),CALLE 40 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 52<br>
<b>CODIGO:</b> 4046<br>
<b>LOCALIZACION:</b> CALLE 40 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9863515<br>
<b>LONGITUD:</b> -74.7810334<br>
<b>ICONO:</b> small_green
</div>",52,4046,10.9863515,-74.7810334,small_green
46,POINT (-74.7828894 10.9784831),CALLE 40 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 53<br>
<b>CODIGO:</b> 1130<br>
<b>LOCALIZACION:</b> CALLE 40 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9784831<br>
<b>LONGITUD:</b> -74.7828894<br>
<b>ICONO:</b> small_green
</div>",53,1130,10.978483099999998,-74.7828894,small_green
47,POINT (-74.7823961 10.9802963),CALLE 40 CON CARRERA 40 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 54<br>
<b>CODIGO:</b> 1131<br>
<b>LOCALIZACION:</b> CALLE 40 CON CARRERA 40 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9802963<br>
<b>LONGITUD:</b> -74.7823961<br>
<b>ICONO:</b> small_green
</div>",54,1131,10.980296300000001,-74.78239609999999,small_green
48,POINT (-74.7815697 10.9837043),CALLE 40 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 55<br>
<b>CODIGO:</b> 4044<br>
<b>LOCALIZACION:</b> CALLE 40 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9837043<br>
<b>LONGITUD:</b> -74.7815697<br>
<b>ICONO:</b> small_green
</div>",55,4044,10.983704300000001,-74.7815697,small_green
49,POINT (-74.7805062 10.9887281),CALLE 40 CON CARRERA 50 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 56<br>
<b>CODIGO:</b> 4050<br>
<b>LOCALIZACION:</b> CALLE 40 CON CARRERA 50 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9887281<br>
<b>LONGITUD:</b> -74.7805062<br>
<b>ICONO:</b> small_green
</div>",56,4050,10.9887281,-74.7805062,small_green
50,POINT (-74.7898688 10.9659884),CALLE 42 CON CARRERA 24 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 57<br>
<b>CODIGO:</b> 1423<br>
<b>LOCALIZACION:</b> CALLE 42 CON CARRERA 24 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9659884<br>
<b>LONGITUD:</b> -74.7898688<br>
<b>ICONO:</b> small_green
</div>",57,1423,10.9659884,-74.7898688,small_green
51,POINT (-74.7890203 10.9667616),CALLE 42 CON CARRERA 25 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 58<br>
<b>CODIGO:</b> 1423<br>
<b>LOCALIZACION:</b> CALLE 42 CON CARRERA 25 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9667616<br>
<b>LONGITUD:</b> -74.7890203<br>
<b>ICONO:</b> small_green
</div>",58,1423,10.9667616,-74.7890203,small_green
52,POINT (-74.7824798 10.986711),CALLE 42 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 59<br>
<b>CODIGO:</b> 4246<br>
<b>LOCALIZACION:</b> CALLE 42 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.986711<br>
<b>LONGITUD:</b> -74.7824798<br>
<b>ICONO:</b> small_green
</div>",59,4246,10.986711,-74.78247979999999,small_green
53,POINT (-74.7820207 10.9891238),CALLE 42 CON CARRERA 50 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 60<br>
<b>CODIGO:</b> 4250<br>
<b>LOCALIZACION:</b> CALLE 42 CON CARRERA 50 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9891238<br>
<b>LONGITUD:</b> -74.7820207<br>
<b>ICONO:</b> small_green
</div>",60,4250,10.989123800000002,-74.7820207,small_green
